Month,Day,Time_Sin,Time_Cos,Wk,Home Position,Home_code_0,Home_code_1,Home_code_2,Home_code_3,Home_code_4,xG_Home,G_Home,G_Away,xG_Away,Away_code_0,Away_code_1,Away_code_2,Away_code_3,Away_code_4,Away Position,Target
9,2,-0.8660254037844386,0.5000000000000001,5,6,0,1,1,1,0,2.0,1,2,2.2,0,0,0,1,1,5,0
9,2,-0.7071067811865477,0.7071067811865474,5,18,0,1,1,0,1,1.7,1,0,0.4,0,0,0,0,0,20,1
9,2,-0.8660254037844386,0.5000000000000001,5,11,0,1,1,1,1,0.6,0,0,1.2,1,0,0,1,1,15,0
9,2,-0.5000000000000004,0.8660254037844384,5,4,0,0,1,1,1,3.5,0,1,1.1,0,0,1,1,0,13,0
9,2,-0.5000000000000004,0.8660254037844384,5,2,1,0,0,0,0,1.4,1,0,0.4,0,0,0,0,1,12,1
9,3,-0.7071067811865477,0.7071067811865474,5,17,0,1,0,1,0,0.6,1,1,0.8,0,0,1,0,1,14,0
9,3,-0.5000000000000004,0.8660254037844384,5,7,1,0,0,1,0,1.9,3,0,0.7,0,0,0,1,0,3,1
9,3,-0.8660254037844386,0.5000000000000001,5,9,0,1,0,0,0,1.5,0,0,1.0,0,0,1,0,0,16,0
9,5,-0.8968727415326883,-0.44228869021900136,6,19,0,0,0,0,0,0.7,1,2,2.4,0,0,1,1,1,8,0
9,5,-0.25881904510252035,-0.9659258262890684,6,3,0,0,0,1,1,1.3,2,0,0.5,1,0,0,0,0,2,1
9,5,-0.7518398074789777,0.6593458151000684,6,15,1,0,0,1,1,0.7,0,3,1.0,0,1,0,1,1,1,0
9,5,-0.9914448613738104,0.13052619222005213,6,20,0,1,1,0,0,2.2,3,3,1.9,0,1,1,1,0,10,0
9,6,-0.9914448613738104,0.13052619222005213,6,13,0,1,0,0,1,1.1,0,4,1.2,0,1,0,1,0,17,0
9,6,1.2246467991473532e-16,-1.0,6,16,0,0,1,0,0,2.7,4,1,1.6,0,1,1,0,1,18,1
9,6,-0.8968727415326883,-0.44228869021900136,6,14,0,0,1,0,1,2.3,4,0,1.1,0,1,0,0,0,9,1
9,6,-0.9914448613738104,-0.13052619222005163,6,12,0,0,0,0,1,0.7,0,2,1.6,0,1,1,1,1,11,0
9,6,-0.7518398074789777,0.6593458151000684,6,6,0,0,0,1,0,1.1,2,3,1.8,1,0,0,0,1,5,0
9,0,-0.7071067811865477,0.7071067811865474,6,7,0,0,1,1,0,2.2,4,0,0.4,1,0,0,1,0,4,1
9,4,-0.7071067811865477,0.7071067811865474,7,13,0,1,0,1,0,2.3,3,3,1.4,1,0,0,1,1,17,0
9,5,-0.25881904510252035,-0.9659258262890684,7,18,0,1,1,0,1,2.3,2,1,1.3,0,0,1,0,1,10,1
9,5,-0.7518398074789777,0.6593458151000684,7,7,0,1,1,1,1,0.4,0,0,1.1,0,0,0,1,1,2,0
9,5,-0.9914448613738104,0.13052619222005213,7,8,1,0,0,1,0,1.1,0,2,2.2,0,0,0,0,0,20,0
9,5,-0.8968727415326883,-0.44228869021900136,7,3,1,0,0,0,0,2.2,2,0,0.4,0,1,1,0,0,19,1
10,6,-0.8968727415326883,-0.44228869021900136,7,1,0,1,0,1,1,4.0,3,0,0.7,0,0,0,0,1,15,1
10,6,-0.7518398074789777,0.6593458151000684,7,6,0,0,1,1,1,2.8,2,0,0.4,0,0,1,0,0,12,1
10,6,1.2246467991473532e-16,-1.0,7,9,0,0,0,1,0,1.7,4,4,2.1,0,0,1,1,0,5,0
10,6,-0.9914448613738104,0.13052619222005213,7,4,1,0,0,0,1,2.6,3,2,2.2,0,1,1,1,0,11,1
10,6,-0.9914448613738104,0.13052619222005213,7,14,0,1,0,0,0,2.5,3,0,0.4,0,1,0,0,1,16,1
10,4,-0.7071067811865477,0.7071067811865474,8,11,0,0,1,0,0,2.4,0,0,0.9,1,0,0,1,0,10,0
10,5,-0.9914448613738104,0.13052619222005213,8,19,0,0,0,0,0,0.6,0,2,0.8,0,0,0,1,0,8,0
10,5,-0.25881904510252035,-0.9659258262890684,8,14,0,1,1,1,0,1.2,1,0,2.3,1,0,0,0,0,2,1
10,5,-0.7518398074789777,0.6593458151000684,8,4,0,0,0,1,1,0.2,1,1,1.4,0,1,0,1,1,1,0
10,5,-0.8968727415326883,-0.44228869021900136,8,12,0,0,1,0,1,1.0,1,2,2.0,0,0,1,1,1,5,0
10,6,1.2246467991473532e-16,-1.0,8,18,0,1,0,0,1,0.6,0,0,0.6,0,1,1,0,1,15,0
10,6,-0.8968727415326883,-0.44228869021900136,8,16,1,0,0,1,1,2.4,1,2,1.4,0,1,0,0,0,9,0
10,6,-0.9914448613738104,0.13052619222005213,8,20,0,1,1,0,0,1.0,0,2,2.2,0,1,1,1,1,7,0
10,6,-0.7518398074789777,0.6593458151000684,8,6,0,0,1,1,0,2.6,3,6,1.7,1,0,0,0,1,3,0
10,0,-0.8660254037844386,0.5000000000000001,8,17,0,0,0,0,1,2.1,2,5,1.8,0,1,0,1,0,13,0
10,5,-0.7518398074789777,0.6593458151000684,9,1,0,1,0,1,1,1.9,2,0,0.6,0,1,1,0,0,20,1
10,5,-0.25881904510252035,-0.9659258262890684,9,12,1,0,0,1,0,0.5,1,1,0.8,0,0,1,0,1,15,0
10,5,-0.8968727415326883,-0.44228869021900136,9,9,0,0,1,1,0,0.8,2,0,0.7,0,0,0,0,0,19,1
10,5,-0.9914448613738104,0.13052619222005213,9,2,1,0,0,0,1,2.2,4,0,0.8,1,0,0,0,0,5,1
10,6,-0.8968727415326883,-0.44228869021900136,9,10,0,1,0,1,0,1.1,0,1,0.9,0,0,0,1,1,4,0
10,6,-0.9914448613738104,0.13052619222005213,9,6,0,1,1,1,1,1.1,1,0,0.7,0,1,1,1,0,11,1
10,6,-0.7518398074789777,0.6593458151000684,9,3,0,0,1,1,1,1.4,3,0,0.3,0,1,0,0,1,16,1
10,6,1.2246467991473532e-16,-1.0,9,8,0,1,0,0,0,2.7,4,0,0.9,0,0,0,0,1,18,1
10,0,-0.7071067811865477,0.7071067811865474,9,14,0,1,1,0,1,2.4,1,2,1.8,1,0,0,1,1,17,0
10,0,-0.8660254037844386,0.5000000000000001,9,7,0,0,0,1,0,1.3,1,1,0.5,0,0,1,0,0,13,0
